itemid,hasbird,base,name,Frequence max
21bae055-ae1b-4093-8387,avec oiseau,apprentissage,21bae055-ae1b-4093-8387,7259.777028684614
4140045b-09bf-46db-859d,avec oiseau,apprentissage,4140045b-09bf-46db-859d,2090.0209271946896
32af35ff-178c-4929-bc21,avec oiseau,apprentissage,32af35ff-178c-4929-bc21,8254.27392296336
b8bc8d29-88b0-47e9-9632,avec oiseau,apprentissage,b8bc8d29-88b0-47e9-9632,1161.0814762665511
00a422b8-a216-4642-a191,avec oiseau,apprentissage,00a422b8-a216-4642-a191,10233.585482692359
bb83a535-05b2-4e39-81c3,avec oiseau,apprentissage,bb83a535-05b2-4e39-81c3,7041.770970227036
4b97674b-5fb9-4196-a58f,avec oiseau,apprentissage,4b97674b-5fb9-4196-a58f,2758.3635551706407
6635ea49-7c6f-4173-ac1b,avec oiseau,apprentissage,6635ea49-7c6f-4173-ac1b,9924.658312809548
1043a858-6c25-421c-aea0,avec oiseau,apprentissage,1043a858-6c25-421c-aea0,1139.5740905057676
634660ed-9375-442e-b0cb,sans oiseau,apprentissage,634660ed-9375-442e-b0cb,1429.7192603222466
281326ad-f189-4d89-a5ce,avec oiseau,apprentissage,281326ad-f189-4d89-a5ce,7964.864907632629
20ec88da-3dc5-44f9-b682,sans oiseau,apprentissage,20ec88da-3dc5-44f9-b682,3122.2857570235797
4edb3ff4-8359-4296-9d32,sans oiseau,apprentissage,4edb3ff4-8359-4296-9d32,3774.09027053972
677b07a7-150a-476d-ad99,avec oiseau,apprentissage,677b07a7-150a-476d-ad99,4540.3571841200155
9523989f-b3bb-4bf9-a3df,avec oiseau,apprentissage,9523989f-b3bb-4bf9-a3df,6614.027524009252
5f0479b3-c66f-4657-9097,avec oiseau,apprentissage,5f0479b3-c66f-4657-9097,2833.844676852684
28224002-617d-402a-9d2c,sans oiseau,apprentissage,28224002-617d-402a-9d2c,2047.7117107364204
42d73b7e-82a4-40c1-b84a,avec oiseau,apprentissage,42d73b7e-82a4-40c1-b84a,4227.140979743509
592f1ef9-2f43-42ea-a68c,avec oiseau,apprentissage,592f1ef9-2f43-42ea-a68c,8349.874085594669
4f6bb1e4-8b2c-40ba-abe6,sans oiseau,apprentissage,4f6bb1e4-8b2c-40ba-abe6,1246.0356229249442
cb9df3c5-83b3-4624-aa3b,avec oiseau,apprentissage,cb9df3c5-83b3-4624-aa3b,7944.527809677099
4ac784c9-ef4c-4a7d-ba0c,avec oiseau,apprentissage,4ac784c9-ef4c-4a7d-ba0c,2447.944463990906
38e83bda-096f-4e0d-b731,avec oiseau,apprentissage,38e83bda-096f-4e0d-b731,7451.740357478834
a4af0bae-6d5e-4817-843e,avec oiseau,apprentissage,a4af0bae-6d5e-4817-843e,8443.79800847035
77d5d677-fa24-48f6-9bf0,avec oiseau,apprentissage,77d5d677-fa24-48f6-9bf0,7755.106362824434
17918a93-fb3b-48fe-9fc4,avec oiseau,apprentissage,17918a93-fb3b-48fe-9fc4,5100.756413515132
8343b799-c921-4694-ba34,avec oiseau,apprentissage,8343b799-c921-4694-ba34,7168.195430993454
c9bc9729-75de-49bf-82e4,avec oiseau,apprentissage,c9bc9729-75de-49bf-82e4,5337.867089993431
4f29f068-0514-4e1e-a75e,avec oiseau,apprentissage,4f29f068-0514-4e1e-a75e,419.9762088185979
7b3e2e78-65fd-4c60-aced,sans oiseau,apprentissage,7b3e2e78-65fd-4c60-aced,401.2273674524344
1111a7d6-a909-4e42-b859,sans oiseau,apprentissage,1111a7d6-a909-4e42-b859,5168.087573287833
9697162c-be37-472e-971c,avec oiseau,apprentissage,9697162c-be37-472e-971c,987.4458590662894
a9ab66a4-29a3-47a7-9cf7,avec oiseau,apprentissage,a9ab66a4-29a3-47a7-9cf7,8306.346815255165
c289648e-716b-4046-893d,avec oiseau,apprentissage,c289648e-716b-4046-893d,8206.860131532652
d8747a06-9909-413d-a456,avec oiseau,apprentissage,d8747a06-9909-413d-a456,5362.8081599956795
e697b9b3-4797-49fe-9e91,avec oiseau,apprentissage,e697b9b3-4797-49fe-9e91,2845.8896045901106
0d2b6631-aac1-42ff-a04f,avec oiseau,apprentissage,0d2b6631-aac1-42ff-a04f,4886.905956196344
bb733fb6-dabf-4824-93f1,avec oiseau,apprentissage,bb733fb6-dabf-4824-93f1,7298.413321224199
1bd6d2a6-c360-4991-835c,avec oiseau,apprentissage,1bd6d2a6-c360-4991-835c,7993.69179859733
f20d32ab-26c3-4058-9808,sans oiseau,apprentissage,f20d32ab-26c3-4058-9808,1385.7218303474287
420a63b7-67d9-46c8-b903,sans oiseau,apprentissage,420a63b7-67d9-46c8-b903,10409.433272889659
bd92ea50-3cc5-4840-959c,sans oiseau,apprentissage,bd92ea50-3cc5-4840-959c,1493.346039260866
7d0ee5ae-0d2b-4137-b586,sans oiseau,apprentissage,7d0ee5ae-0d2b-4137-b586,1612.313162915608
420a6f6a-6fde-4209-9c6e,avec oiseau,apprentissage,420a6f6a-6fde-4209-9c6e,4482.344224407487
89f27f14-a9d4-4e47-a5a8,avec oiseau,apprentissage,89f27f14-a9d4-4e47-a5a8,11025.0
21b20b06-53e5-4bff-a998,sans oiseau,apprentissage,21b20b06-53e5-4bff-a998,6378.560312863677
db0dc4f4-8db2-4362-8ebe,avec oiseau,apprentissage,db0dc4f4-8db2-4362-8ebe,10201.534871074455
f99e538c-85a1-4271-8a29,avec oiseau,apprentissage,f99e538c-85a1-4271-8a29,5912.303775414901
c589eb45-ddd1-4e5c-a072,avec oiseau,apprentissage,c589eb45-ddd1-4e5c-a072,1586.5927155012614
edc0b430-1d8a-4683-9815,avec oiseau,apprentissage,edc0b430-1d8a-4683-9815,4299.077743902439
2fc25690-244a-4fd5-9203,avec oiseau,apprentissage,2fc25690-244a-4fd5-9203,232.32088639144425
65a6c40e-1d24-4d3d-a234,avec oiseau,apprentissage,65a6c40e-1d24-4d3d-a234,7471.75692952153
ae99be71-80e6-4987-bac5,avec oiseau,apprentissage,ae99be71-80e6-4987-bac5,547.9979178345479
2fb9eda4-b5ac-49b3-a37a,avec oiseau,apprentissage,2fb9eda4-b5ac-49b3-a37a,1642.533647527983
8248ef61-457b-4651-beb9,avec oiseau,apprentissage,8248ef61-457b-4651-beb9,7291.846533623894
6f486d16-c6c4-4acb-8e79,avec oiseau,apprentissage,6f486d16-c6c4-4acb-8e79,7864.173467654709
3b45d2c2-9c62-4d8e-b9e0,avec oiseau,apprentissage,3b45d2c2-9c62-4d8e-b9e0,505.0921217248859
47bb7880-a4df-4b0b-84d3,avec oiseau,apprentissage,47bb7880-a4df-4b0b-84d3,10267.710779178557
77509a3d-6783-4c68-879e,avec oiseau,apprentissage,77509a3d-6783-4c68-879e,1236.3102904097661
cd59ec34-b879-4df0-b32e,avec oiseau,apprentissage,cd59ec34-b879-4df0-b32e,4759.2199526614395
1896761b-f29a-45cf-9d2c,avec oiseau,apprentissage,1896761b-f29a-45cf-9d2c,6649.592681804649
9d0e80af-4a3b-43aa-bfaa,avec oiseau,apprentissage,9d0e80af-4a3b-43aa-bfaa,3583.3126106094296
9896cd13-5731-44ed-9e4b,avec oiseau,apprentissage,9896cd13-5731-44ed-9e4b,8005.366952657244
67d051a0-7e75-45b0-a11e,avec oiseau,apprentissage,67d051a0-7e75-45b0-a11e,6667.694660207312
bd527456-d6a8-4b18-892e,avec oiseau,apprentissage,bd527456-d6a8-4b18-892e,8685.070637906303
0786ed91-5ad5-4fb2-a7a8,avec oiseau,apprentissage,0786ed91-5ad5-4fb2-a7a8,11025.0
9a89d1cf-0ab9-412e-a9a9,avec oiseau,apprentissage,9a89d1cf-0ab9-412e-a9a9,8086.336327551911
16f8ca73-5a06-4693-af9d,avec oiseau,apprentissage,16f8ca73-5a06-4693-af9d,4938.624978524474
42ba0c76-c933-43cc-bcd5,avec oiseau,apprentissage,42ba0c76-c933-43cc-bcd5,1207.7688403498437
374cf38b-b504-4195-aa11,avec oiseau,apprentissage,374cf38b-b504-4195-aa11,7703.807729954471
ff39c02d-120d-4caa-aa2b,avec oiseau,apprentissage,ff39c02d-120d-4caa-aa2b,570.834425947862
51b06cca-a5aa-40fd-9091,avec oiseau,apprentissage,51b06cca-a5aa-40fd-9091,5908.749151161212
188a58c6-192d-4a0b-9c97,avec oiseau,apprentissage,188a58c6-192d-4a0b-9c97,3121.74453617383
0f6dff41-e0b7-4658-8007,avec oiseau,apprentissage,0f6dff41-e0b7-4658-8007,8737.375554972828
0375ba5b-7051-4412-9220,sans oiseau,apprentissage,0375ba5b-7051-4412-9220,1052.4012828493328
b8df4e85-fb8c-4f5c-b173,avec oiseau,apprentissage,b8df4e85-fb8c-4f5c-b173,6718.321485443812
08292e52-d4da-41a7-aec9,avec oiseau,apprentissage,08292e52-d4da-41a7-aec9,4879.607517790779
7a7f5197-a943-4114-b08c,avec oiseau,apprentissage,7a7f5197-a943-4114-b08c,7205.16199440391
d23fe2ab-4468-4407-96d0,avec oiseau,apprentissage,d23fe2ab-4468-4407-96d0,1401.419540490325
2eb3bd1b-9278-42c4-8aa3,sans oiseau,apprentissage,2eb3bd1b-9278-42c4-8aa3,1938.9030300838226
1a740776-b4b4-41a3-807c,avec oiseau,apprentissage,1a740776-b4b4-41a3-807c,11025.0
c37a53a1-0e29-464a-a34d,avec oiseau,apprentissage,c37a53a1-0e29-464a-a34d,3152.031854718666
70bfe9c2-1984-42cf-b700,avec oiseau,apprentissage,70bfe9c2-1984-42cf-b700,6460.914368453815
82342726-c6bb-442d-a43b,avec oiseau,apprentissage,82342726-c6bb-442d-a43b,4619.459420537699
f6e090a4-109f-4c3b-b15f,avec oiseau,apprentissage,f6e090a4-109f-4c3b-b15f,403.21659584833145
d80532fa-3f22-4362-93aa,avec oiseau,apprentissage,d80532fa-3f22-4362-93aa,8107.849050618571
35d34d17-0430-4694-9f4c,avec oiseau,apprentissage,35d34d17-0430-4694-9f4c,11025.0
0db552a3-4460-49f0-9dea,avec oiseau,apprentissage,0db552a3-4460-49f0-9dea,9758.476458059546
18307f7d-692c-499a-b2f4,avec oiseau,apprentissage,18307f7d-692c-499a-b2f4,7310.93997340594
ab12be91-8fbd-4d40-ac0c,sans oiseau,apprentissage,ab12be91-8fbd-4d40-ac0c,1591.1942456379816
efeb1574-f9c8-4068-a95d,avec oiseau,apprentissage,efeb1574-f9c8-4068-a95d,4513.790960502135
46707758-92ac-47c6-a8ab,avec oiseau,apprentissage,46707758-92ac-47c6-a8ab,4456.36891390836
38ae2132-6255-4d6c-a521,avec oiseau,apprentissage,38ae2132-6255-4d6c-a521,11025.0
5b73aafe-7a77-449e-bb5f,sans oiseau,apprentissage,5b73aafe-7a77-449e-bb5f,6920.6643404178185
690742aa-bc81-402c-b70a,avec oiseau,apprentissage,690742aa-bc81-402c-b70a,5519.303702695344
7d37a0ac-3b96-407f-8dac,avec oiseau,apprentissage,7d37a0ac-3b96-407f-8dac,3705.3357330374297
570b0a34-e84b-4eaf-aa92,sans oiseau,apprentissage,570b0a34-e84b-4eaf-aa92,707.6182223996516
d656c59e-3ba8-4922-a88a,sans oiseau,apprentissage,d656c59e-3ba8-4922-a88a,1394.8469512030094
d4977561-ceae-48d3-9f11,avec oiseau,apprentissage,d4977561-ceae-48d3-9f11,6907.236122288433
6d77e27b-3ee0-4f31-bf1f,avec oiseau,apprentissage,6d77e27b-3ee0-4f31-bf1f,5050.75551096867
3228a891-7a2e-49c9-bbe4,avec oiseau,apprentissage,3228a891-7a2e-49c9-bbe4,736.5118135808817
aa02b7af-0eb4-4fb7-b5be,avec oiseau,apprentissage,aa02b7af-0eb4-4fb7-b5be,1770.424130354188
459d0799-ebb1-4d80-b911,sans oiseau,apprentissage,459d0799-ebb1-4d80-b911,2388.068689274405
4c77e5a7-a7c4-4893-8e4a,avec oiseau,apprentissage,4c77e5a7-a7c4-4893-8e4a,8118.283622707234
4c025249-478b-4158-b05e,avec oiseau,apprentissage,4c025249-478b-4158-b05e,765.1500388840718
1ec9ff90-7f34-44ff-98cd,sans oiseau,apprentissage,1ec9ff90-7f34-44ff-98cd,2977.1657831021666
8013c55d-1e4b-4ac4-9eda,sans oiseau,apprentissage,8013c55d-1e4b-4ac4-9eda,1998.3593148139757
669998c4-fc1a-483c-8121,sans oiseau,apprentissage,669998c4-fc1a-483c-8121,4592.494290475896
0df13aed-c52b-4048-b65e,avec oiseau,apprentissage,0df13aed-c52b-4048-b65e,8900.341132814981
574bf3e1-076f-4e1e-90b2,avec oiseau,apprentissage,574bf3e1-076f-4e1e-90b2,607.4108906871634
b98aee9f-cd6b-4473-8232,sans oiseau,apprentissage,b98aee9f-cd6b-4473-8232,5288.54269334756
4dcfa58d-e5aa-4baf-a180,avec oiseau,apprentissage,4dcfa58d-e5aa-4baf-a180,4711.447905822055
33182a20-db14-47ea-963b,avec oiseau,apprentissage,33182a20-db14-47ea-963b,7752.818750169152
09022cbd-2796-4ac4-b11e,sans oiseau,apprentissage,09022cbd-2796-4ac4-b11e,4490.053836164918
45a3320b-87c2-40c5-af9c,avec oiseau,apprentissage,45a3320b-87c2-40c5-af9c,2888.4590922623074
c82cf017-6ba9-42f3-a19f,avec oiseau,apprentissage,c82cf017-6ba9-42f3-a19f,1033.6030745081057
3c373a36-583c-496b-ac0e,avec oiseau,apprentissage,3c373a36-583c-496b-ac0e,11025.0
bca625f4-fc97-49a8-8455,avec oiseau,apprentissage,bca625f4-fc97-49a8-8455,7034.143601197205
11de0282-a955-4a94-8f9b,avec oiseau,apprentissage,11de0282-a955-4a94-8f9b,9730.169981278998
bb649480-4646-4b30-809d,avec oiseau,apprentissage,bb649480-4646-4b30-809d,8130.971068229181
d6c4c275-7612-42eb-b71e,sans oiseau,apprentissage,d6c4c275-7612-42eb-b71e,1366.2991418878466
f99d5ead-3653-4ad9-a9fa,sans oiseau,apprentissage,f99d5ead-3653-4ad9-a9fa,2849.1718314433406
f9b24a65-b704-4bf4-9827,avec oiseau,apprentissage,f9b24a65-b704-4bf4-9827,7000.049054624698
a4ceac6b-5f25-4fd2-852e,avec oiseau,apprentissage,a4ceac6b-5f25-4fd2-852e,2938.388724999323
70cd7cf8-0b60-4d35-8db2,avec oiseau,apprentissage,70cd7cf8-0b60-4d35-8db2,3342.728971962617
6e986b65-5922-4b65-9a0d,avec oiseau,apprentissage,6e986b65-5922-4b65-9a0d,7279.773076266849
4b5a5198-f9f3-4f95-a45d,sans oiseau,apprentissage,4b5a5198-f9f3-4f95-a45d,717.3498915420826
9fe0ad8e-14bf-45f5-9429,avec oiseau,apprentissage,9fe0ad8e-14bf-45f5-9429,8273.289875160886
47326753-e4cd-4a94-ba5c,avec oiseau,apprentissage,47326753-e4cd-4a94-ba5c,5931.872509960159
5ef5791c-838a-4f4e-a10e,avec oiseau,apprentissage,5ef5791c-838a-4f4e-a10e,519.3995558979472
991d8bac-581c-4ae1-af29,sans oiseau,apprentissage,991d8bac-581c-4ae1-af29,4165.017722961182
f74a9b1d-7bda-439b-a4cd,avec oiseau,apprentissage,f74a9b1d-7bda-439b-a4cd,6418.80369512923
666d94ad-cc15-4b9b-be1d,sans oiseau,apprentissage,666d94ad-cc15-4b9b-be1d,1845.3772601622334
c9cb822b-7fa0-4401-8933,avec oiseau,apprentissage,c9cb822b-7fa0-4401-8933,4743.3290231574
19b8fa14-819a-47d0-a3c3,sans oiseau,apprentissage,19b8fa14-819a-47d0-a3c3,3093.3316381666773
c1e391af-b27e-4a1c-bbad,avec oiseau,apprentissage,c1e391af-b27e-4a1c-bbad,10080.110573071834
33190df2-c7a2-4e2f-a6a6,sans oiseau,apprentissage,33190df2-c7a2-4e2f-a6a6,2221.142655379857
dfd7326b-3d9d-4267-ba58,avec oiseau,apprentissage,dfd7326b-3d9d-4267-ba58,4606.555657798587
c1ea7d88-1e1e-429e-8052,avec oiseau,apprentissage,c1ea7d88-1e1e-429e-8052,6417.087668173647
e31f713e-7f8a-43f9-952d,avec oiseau,apprentissage,e31f713e-7f8a-43f9-952d,7690.469733130832
d61bb274-b2b2-4d83-aeeb,avec oiseau,apprentissage,d61bb274-b2b2-4d83-aeeb,8310.116786298504
2199817f-ef3e-410f-a964,avec oiseau,apprentissage,2199817f-ef3e-410f-a964,4579.13686466349
0ee535c1-7a6b-42d7-94b2,avec oiseau,apprentissage,0ee535c1-7a6b-42d7-94b2,2181.245675498139
c705a86c-6501-4872-85ef,avec oiseau,apprentissage,c705a86c-6501-4872-85ef,11025.0
b38150a0-393f-4351-b4c9,avec oiseau,apprentissage,b38150a0-393f-4351-b4c9,6438.635010419767
7084ca3e-564c-49a3-96b1,sans oiseau,apprentissage,7084ca3e-564c-49a3-96b1,246.23839191254262
ef0eea23-5d4d-4873-bc43,sans oiseau,apprentissage,ef0eea23-5d4d-4873-bc43,3888.273684115344
8fd9294c-25a8-4858-9858,avec oiseau,apprentissage,8fd9294c-25a8-4858-9858,7792.492182897539
db9beb04-5203-4418-a2a3,avec oiseau,apprentissage,db9beb04-5203-4418-a2a3,11025.0
531e28a1-8fd2-4333-82a0,sans oiseau,apprentissage,531e28a1-8fd2-4333-82a0,1097.1422571087908
3530664d-9c2a-4d3e-9d24,avec oiseau,apprentissage,3530664d-9c2a-4d3e-9d24,7064.147879509594
8f128149-8d7c-42bd-9c4f,avec oiseau,apprentissage,8f128149-8d7c-42bd-9c4f,2027.8365885711696
46a9533b-9228-45f2-9a68,avec oiseau,apprentissage,46a9533b-9228-45f2-9a68,876.2896619073886
f35263d7-a443-4d0f-b3c5,avec oiseau,apprentissage,f35263d7-a443-4d0f-b3c5,657.7655505420876
3bfb5735-98bf-4fdd-a4aa,avec oiseau,apprentissage,3bfb5735-98bf-4fdd-a4aa,10238.981395641882
b65423ac-8913-41dd-83a1,avec oiseau,apprentissage,b65423ac-8913-41dd-83a1,4498.739478740967
85045ce4-92e0-4d69-8828,avec oiseau,apprentissage,85045ce4-92e0-4d69-8828,4558.002233454802
92fa59cb-f5d1-40a3-9070,avec oiseau,apprentissage,92fa59cb-f5d1-40a3-9070,7772.460010308254
5854a3ef-d2c7-4c03-932b,avec oiseau,apprentissage,5854a3ef-d2c7-4c03-932b,1687.050052815471
e7cf7bdc-5d69-4f90-8398,sans oiseau,apprentissage,e7cf7bdc-5d69-4f90-8398,4520.720452515629
87aec007-408e-4d10-8f62,avec oiseau,apprentissage,87aec007-408e-4d10-8f62,10140.519509278532
9e14f39e-a8cd-468a-9e8a,avec oiseau,apprentissage,9e14f39e-a8cd-468a-9e8a,2833.892238131123
f5a9c8a4-e017-4b1e-9368,avec oiseau,apprentissage,f5a9c8a4-e017-4b1e-9368,5538.58620125889
634c1f03-2c6a-434d-be35,avec oiseau,apprentissage,634c1f03-2c6a-434d-be35,3872.347343653681
877c89f5-4e9d-43b3-acbd,avec oiseau,apprentissage,877c89f5-4e9d-43b3-acbd,10129.717956896158
51f42ff0-f9bd-4760-b562,avec oiseau,apprentissage,51f42ff0-f9bd-4760-b562,2697.5565371504013
ca4cfff6-b5ca-472e-964f,avec oiseau,apprentissage,ca4cfff6-b5ca-472e-964f,3047.0081423972733
f4ec1952-c993-44cf-9ed2,avec oiseau,apprentissage,f4ec1952-c993-44cf-9ed2,1402.5186930711018
